ATC5,NAZIV,joint_name
A16AB04,agalzidaza beta,A16AB04 - agalzidaza beta
A16AB10,velagluceraza alfa,A16AB10 - velagluceraza alfa
A16AX05,cinkov acetat,A16AX05 - cinkov acetat
A16AX06,miglustat,A16AX06 - miglustat
A16AX12,trientin,A16AX12 - trientin
B01AA03,varfarin,B01AA03 - varfarin
B01AA07,acenokumarol,B01AA07 - acenokumarol
B01AB04,dalteparin,B01AB04 - dalteparin
B01AB05,enoksaparin,B01AB05 - enoksaparin
B01AB06,nadroparin,B01AB06 - nadroparin
B01AB08,reviparin,B01AB08 - reviparin
B01AC04,klopidogrel,B01AC04 - klopidogrel
B01AC05,tiklopidin,B01AC05 - tiklopidin
B01AC06,acetilsalicilna kislina,B01AC06 - acetilsalicilna kislina
B01AC11,iloprost,B01AC11 - iloprost
B01AC21,treprostinil,B01AC21 - treprostinil
B01AC22,prasugrel,B01AC22 - prasugrel
B01AC24,ticagrelor,B01AC24 - ticagrelor
B01AC30,kombinacije,B01AC30 - kombinacije
B01AE07,dabigatraneteksilat,B01AE07 - dabigatraneteksilat
B01AF01,rivaroksaban,B01AF01 - rivaroksaban
B01AF02,apiksaban,B01AF02 - apiksaban
B01AX05,fondaparinuks,B01AX05 - fondaparinuks
B02AA02,traneksaminska kislina,B02AA02 - traneksaminska kislina
B02BD02,koagulacijski faktor VIII,B02BD02 - koagulacijski faktor VIII
B02BD03,zaviralci inhibitorjev faktorja VIII,B02BD03 - zaviralci inhibitorjev faktorja VIII
B02BD04,koagulacijski faktor IX,B02BD04 - koagulacijski faktor IX
B02BD06,kombinacija von willebrandovega faktorja in koagulacijskega faktorja VIII,B02BD06 - kombinacija von willebrandovega faktorja in koagulacijskega faktorja VIII
B02BD08,koagulacijski faktor VIIa,B02BD08 - koagulacijski faktor VIIa
B02BX04,romiplostim,B02BX04 - romiplostim
B02BX05,eltrombopag,B02BX05 - eltrombopag
B02BX06,emicizumab,B02BX06 - emicizumab
B03AA07,železov(II) sulfat,B03AA07 - železov(II) sulfat
B03AB05,kompleksi železovega(III) oksida in polimaltoze,B03AB05 - kompleksi železovega(III) oksida in polimaltoze
B03AB09,železov(III) proteinsukcinilat,B03AB09 - železov(III) proteinsukcinilat
B03AE10,"železo, razne kombinacije","B03AE10 - železo, razne kombinacije"
B03XA01,eritropoetin,B03XA01 - eritropoetin
B03XA02,darbepoetin alfa,B03XA02 - darbepoetin alfa
B03XA03,metoksipolietilenglikol epoetin beta,B03XA03 - metoksipolietilenglikol epoetin beta
B05BB01,elektroliti,B05BB01 - elektroliti
B06AC02,ikatibant,B06AC02 - ikatibant
C01AA08,metildigoksin,C01AA08 - metildigoksin
C01BC03,propafenon,C01BC03 - propafenon
C01BD01,amjodaron,C01BD01 - amjodaron
C01BD07,dronedaron,C01BD07 - dronedaron
C01CA24,adrenalin,C01CA24 - adrenalin
C01DA02,gliceriltrinitrat,C01DA02 - gliceriltrinitrat
C01DA14,izosorbidmononitrat,C01DA14 - izosorbidmononitrat
C01EB15,trimetazidin,C01EB15 - trimetazidin
C01EB17,ivabradin,C01EB17 - ivabradin
C01EB18,ranolazin,C01EB18 - ranolazin
C02AB01,L-metildopa,C02AB01 - L-metildopa
C02AC05,moksonidin,C02AC05 - moksonidin
C02CA01,prazosin,C02CA01 - prazosin
C02CA04,doksazosin,C02CA04 - doksazosin
C02KX01,bosentan,C02KX01 - bosentan
C02KX02,ambrisentan,C02KX02 - ambrisentan
C02KX05,riociguat,C02KX05 - riociguat
C02LA51,"reserpin in diuretiki, kombinacije z drugimi učinkovinami","C02LA51 - reserpin in diuretiki, kombinacije z drugimi učinkovinami"
C03BA04,klortalidon,C03BA04 - klortalidon
C03BA10,ksipamid,C03BA10 - ksipamid
C03BA11,indapamid,C03BA11 - indapamid
C03CA01,furosemid,C03CA01 - furosemid
C03CA04,torasemid,C03CA04 - torasemid
C03DA01,spironolakton,C03DA01 - spironolakton
C03DA04,eplerenon,C03DA04 - eplerenon
C03EA01,"hidroklorotiazid in diuretiki, ki varčujejo s kalijem","C03EA01 - hidroklorotiazid in diuretiki, ki varčujejo s kalijem"
C04AD03,pentoksifilin,C04AD03 - pentoksifilin
C05CA53,"diosmin, kombinacije","C05CA53 - diosmin, kombinacije"
C07AA05,propranolol,C07AA05 - propranolol
C07AA07,sotalol,C07AA07 - sotalol
C07AB02,metoprolol,C07AB02 - metoprolol
C07AB03,atenolol,C07AB03 - atenolol
C07AB07,bisoprolol,C07AB07 - bisoprolol
C07AB12,nebivolol,C07AB12 - nebivolol
C07AG02,karvedilol,C07AG02 - karvedilol
C07BB07,bisoprolol in tiazidi,C07BB07 - bisoprolol in tiazidi
C07BB12,nebivolol in tiazidi,C07BB12 - nebivolol in tiazidi
C07CA03,pindolol in drugi diuretiki,C07CA03 - pindolol in drugi diuretiki
C07FX04,bisoprolol in acetilsalicilna kislina,C07FX04 - bisoprolol in acetilsalicilna kislina
C08CA01,amlodipin,C08CA01 - amlodipin
C08CA05,nifedipin,C08CA05 - nifedipin
C08CA06,nimodipin,C08CA06 - nimodipin
C08CA08,nitrendipin,C08CA08 - nitrendipin
C08CA09,lacidipin,C08CA09 - lacidipin
C08CA13,lerkanidipin,C08CA13 - lerkanidipin
C08DA01,verapamil,C08DA01 - verapamil
C08DB01,diltiazem,C08DB01 - diltiazem
C08GA02,amlodipin in diuretiki,C08GA02 - amlodipin in diuretiki
C09AA01,kaptopril,C09AA01 - kaptopril
C09AA02,enalapril,C09AA02 - enalapril
C09AA03,lizinopril,C09AA03 - lizinopril
C09AA04,perindopril,C09AA04 - perindopril
C09AA05,ramipril,C09AA05 - ramipril
C09AA08,cilazapril,C09AA08 - cilazapril
C09AA09,fozinopril,C09AA09 - fozinopril
C09AA10,trandolapril,C09AA10 - trandolapril
C09AA15,zofenopril,C09AA15 - zofenopril
C09BA02,enalapril in diuretiki,C09BA02 - enalapril in diuretiki
C09BA03,lizinopril in diuretiki,C09BA03 - lizinopril in diuretiki
C09BA04,perindopril in diuretiki,C09BA04 - perindopril in diuretiki
C09BA05,ramipril in diuretiki,C09BA05 - ramipril in diuretiki
C09BA09,fozinopril in diuretiki,C09BA09 - fozinopril in diuretiki
C09BA15,zofenopril in diuretiki,C09BA15 - zofenopril in diuretiki
C09BB02,enalapril in lerkanidipin,C09BB02 - enalapril in lerkanidipin
C09BB04,perindopril in amlodipin,C09BB04 - perindopril in amlodipin
C09BB07,ramipril in amlodipin,C09BB07 - ramipril in amlodipin
C09BB10,trandolapril in verapamil,C09BB10 - trandolapril in verapamil
C09BX01,"perindopril, amlodipin in indapamid","C09BX01 - perindopril, amlodipin in indapamid"
C09BX02,bisoprolol in perindopril,C09BX02 - bisoprolol in perindopril
C09CA01,losartan,C09CA01 - losartan
C09CA03,valsartan,C09CA03 - valsartan
C09CA04,irbesartan,C09CA04 - irbesartan
C09CA06,kandesartan,C09CA06 - kandesartan
C09CA07,telmisartan,C09CA07 - telmisartan
C09DA01,losartan in diuretiki,C09DA01 - losartan in diuretiki
C09DA03,valsartan in diuretiki,C09DA03 - valsartan in diuretiki
C09DA04,irbesartan in diuretiki,C09DA04 - irbesartan in diuretiki
C09DA06,kandesartan in diuretiki,C09DA06 - kandesartan in diuretiki
C09DA07,telmisartan in diuretiki,C09DA07 - telmisartan in diuretiki
C09DB01,valsartan in amlodipin,C09DB01 - valsartan in amlodipin
C09DB04,telmisartan in amlodipin,C09DB04 - telmisartan in amlodipin
C09DB07,kandesartan in amlodipin,C09DB07 - kandesartan in amlodipin
C09DX01,"valsartan, amlodipin in hidroklorotiazid","C09DX01 - valsartan, amlodipin in hidroklorotiazid"
C09DX04,valsartan in sakubitril,C09DX04 - valsartan in sakubitril
C09XA02,aliskiren,C09XA02 - aliskiren
C09XA52,aliskiren in hidroklorotiazid,C09XA52 - aliskiren in hidroklorotiazid
C10AA01,simvastatin,C10AA01 - simvastatin
C10AA02,lovastatin,C10AA02 - lovastatin
C10AA03,pravastatin,C10AA03 - pravastatin
C10AA04,fluvastatin,C10AA04 - fluvastatin
C10AA05,atorvastatin,C10AA05 - atorvastatin
C10AA07,rosuvastatin,C10AA07 - rosuvastatin
C10AB04,gemfibrozil,C10AB04 - gemfibrozil
C10AB05,fenofibrat,C10AB05 - fenofibrat
C10AD52,"nikotinska kislina, kombinacije","C10AD52 - nikotinska kislina, kombinacije"
C10AX09,ezetimib,C10AX09 - ezetimib
C10AX13,evolokumab,C10AX13 - evolokumab
C10AX14,alirokumab,C10AX14 - alirokumab
C10BA02,simvastatin in ezetimib,C10BA02 - simvastatin in ezetimib
C10BA04,simvastatin in fenofibrat,C10BA04 - simvastatin in fenofibrat
C10BA06,rosuvastatin in ezetimib,C10BA06 - rosuvastatin in ezetimib
C10BX03,atorvastatin in amlodipin,C10BX03 - atorvastatin in amlodipin
C10BX09,rosuvastatin in amlodipin,C10BX09 - rosuvastatin in amlodipin
C10BX10,rosuvastatin in valsartan,C10BX10 - rosuvastatin in valsartan
C10BX11,"atorvastatin, amlodipin in perindopril","C10BX11 - atorvastatin, amlodipin in perindopril"
C10BX13,"rosuvastatin, perindopril in indapamid","C10BX13 - rosuvastatin, perindopril in indapamid"
D01AC01,klotrimazol,D01AC01 - klotrimazol
D01AC02,mikonazol,D01AC02 - mikonazol
D01AC08,ketokonazol,D01AC08 - ketokonazol
D01AC10,bifonazol,D01AC10 - bifonazol
D01AE15,terbinafin,D01AE15 - terbinafin
D01BA02,terbinafin,D01BA02 - terbinafin
D02AE01,sečnina,D02AE01 - sečnina
D03AX03,dekspantenol,D03AX03 - dekspantenol
D04AX,Drugi antipruritiki,D04AX - Drugi antipruritiki
D05AX02,kalcipotriol,D05AX02 - kalcipotriol
D05AX52,"kalcipotriol, kombinacije","D05AX52 - kalcipotriol, kombinacije"
D05BB02,acitretin,D05BB02 - acitretin
D06BA01,srebrov sulfadiazinat,D06BA01 - srebrov sulfadiazinat
D06BB10,imikimod,D06BB10 - imikimod
D06BX01,metronidazol,D06BX01 - metronidazol
D06BX02,ingenolmebutat,D06BX02 - ingenolmebutat
D07AB02,hidrokortizonbutirat,D07AB02 - hidrokortizonbutirat
D07AB10,alklometazon,D07AB10 - alklometazon
D07AC01,betametazon,D07AC01 - betametazon
D07AC13,mometazon,D07AC13 - mometazon
D07AC14,metilprednizolonaceponat,D07AC14 - metilprednizolonaceponat
D07XB01,flumetazon,D07XB01 - flumetazon
D07XC01,betametazon,D07XC01 - betametazon
D08AX01,vodikov peroksid,D08AX01 - vodikov peroksid
D09AB,Cinkovi povoji,D09AB - Cinkovi povoji
D10AD03,adapalen,D10AD03 - adapalen
D10AF01,klindamicin,D10AF01 - klindamicin
D10AF51,"klindamicin, kombinacije","D10AF51 - klindamicin, kombinacije"
D10AX,Druga zdravila za lokalno zdravljenje aken,D10AX - Druga zdravila za lokalno zdravljenje aken
D10AX03,azelainska kislina,D10AX03 - azelainska kislina
D10BA01,izotretinoin,D10BA01 - izotretinoin
D11A,Druga zdravila za bolezni kože in podkožnega tkiva,D11A - Druga zdravila za bolezni kože in podkožnega tkiva
D11AH01,takrolimus,D11AH01 - takrolimus
D11AH02,pimekrolimus,D11AH02 - pimekrolimus
D11AH04,alitretinoin,D11AH04 - alitretinoin
D11AH05,dupilumab,D11AH05 - dupilumab
G01AA10,klindamicin,G01AA10 - klindamicin
G01AC05,dekalinium,G01AC05 - dekalinium
G01AD01,mlečna kislina,G01AD01 - mlečna kislina
G01AF02,klotrimazol,G01AF02 - klotrimazol
G01AF04,mikonazol,G01AF04 - mikonazol
G01AX11,povidon-jod,G01AX11 - povidon-jod
G02BA03,plastični maternični vložki z dodatkom progestogenov,G02BA03 - plastični maternični vložki z dodatkom progestogenov
G02BB01,vaginalni obroček s progestogenom in estrogenom,G02BB01 - vaginalni obroček s progestogenom in estrogenom
G02CB01,bromokriptin,G02CB01 - bromokriptin
G03AA07,levonorgestrel in etinilestradiol,G03AA07 - levonorgestrel in etinilestradiol
G03AA09,dezogestrel in etinilestradiol,G03AA09 - dezogestrel in etinilestradiol
G03AA10,gestoden in etinilestradiol,G03AA10 - gestoden in etinilestradiol
G03AA11,norgestimat in etinilestradiol,G03AA11 - norgestimat in etinilestradiol
G03AA12,drospirenon in etinilestradiol,G03AA12 - drospirenon in etinilestradiol
G03AA13,norelgestromin in etinilestradiol,G03AA13 - norelgestromin in etinilestradiol
G03AA14,nomegestrol in estradiol,G03AA14 - nomegestrol in estradiol
G03AA15,klormadinon in etinilestradiol,G03AA15 - klormadinon in etinilestradiol
G03AA16,dienogest in etinilestradiol,G03AA16 - dienogest in etinilestradiol
G03AB03,levonorgestrel in etinilestradiol,G03AB03 - levonorgestrel in etinilestradiol
G03AB04,noretisteron in etinilestradiol,G03AB04 - noretisteron in etinilestradiol
G03AB08,dienogest in estradiol,G03AB08 - dienogest in estradiol
G03AC09,dezogestrel,G03AC09 - dezogestrel
G03BA03,testosteron,G03BA03 - testosteron
G03CA03,estradiol,G03CA03 - estradiol
G03CA04,estriol,G03CA04 - estriol
G03CX01,tibolon,G03CX01 - tibolon
G03DA04,progesteron,G03DA04 - progesteron
G03DB01,didrogesteron,G03DB01 - didrogesteron
G03DB08,dienogest,G03DB08 - dienogest
G03DC02,noretisteron,G03DC02 - noretisteron
G03DC03,linestrenol,G03DC03 - linestrenol
G03FA,"Progestogeni in estrogeni, kombinacije","G03FA - Progestogeni in estrogeni, kombinacije"
G03FA01,noretisteron in estrogen,G03FA01 - noretisteron in estrogen
G03FB01,norgestrel in estrogen,G03FB01 - norgestrel in estrogen
G03FB05,noretisteron in estrogen,G03FB05 - noretisteron in estrogen
G03GB02,klomifen,G03GB02 - klomifen
G03HA01,ciproteron,G03HA01 - ciproteron
G03HB01,ciproteron in estrogen,G03HB01 - ciproteron in estrogen
G03XA01,danazol,G03XA01 - danazol
G03XB02,ulipristal,G03XB02 - ulipristal
G03XC01,raloksifen,G03XC01 - raloksifen
G04BC,Topila za  konkremente,G04BC - Topila za  konkremente
G04BD06,propiverin,G04BD06 - propiverin
G04BD07,tolterodin,G04BD07 - tolterodin
G04BD08,solifenacin,G04BD08 - solifenacin
G04BD09,trospium,G04BD09 - trospium
G04BD10,darifenacin,G04BD10 - darifenacin
G04BD11,fezoterodin,G04BD11 - fezoterodin
G04BD12,mirabegron,G04BD12 - mirabegron
G04BE01,alprostadil,G04BE01 - alprostadil
G04BE03,sildenafil,G04BE03 - sildenafil
G04CA02,tamsulozin,G04CA02 - tamsulozin
G04CA03,terazosin,G04CA03 - terazosin
G04CA52,tamsulozin in dutasterid,G04CA52 - tamsulozin in dutasterid
G04CA53,tamsulozin in solifenacin,G04CA53 - tamsulozin in solifenacin
G04CB01,finasterid,G04CB01 - finasterid
G04CB02,dutasterid,G04CB02 - dutasterid
H01AC01,somatropin,H01AC01 - somatropin
H01AX01,pegvisomant,H01AX01 - pegvisomant
H01BA02,dezmopresin,H01BA02 - dezmopresin
H01BB02,oksitocin,H01BB02 - oksitocin
H01CB02,oktreotid,H01CB02 - oktreotid
H01CB03,lanreotid,H01CB03 - lanreotid
H01CB05,pasireotid,H01CB05 - pasireotid
H02AB02,deksametazon,H02AB02 - deksametazon
H02AB04,metilprednizolon,H02AB04 - metilprednizolon
H02AB09,hidrokortizon,H02AB09 - hidrokortizon
H03AA01,natrijev levotiroksinat,H03AA01 - natrijev levotiroksinat
H03BA02,propiltiouracil,H03BA02 - propiltiouracil
H03BB02,tiamazol,H03BB02 - tiamazol
H03CA,Zdravljenje z jodom,H03CA - Zdravljenje z jodom
H04AA01,glukagon,H04AA01 - glukagon
H05AA02,teriparatid,H05AA02 - teriparatid
H05BA01,sintezni lososov kalcitonin,H05BA01 - sintezni lososov kalcitonin
H05BX01,cinakalcet,H05BX01 - cinakalcet
H05BX02,parikalcitol,H05BX02 - parikalcitol
J01AA02,doksiciklin,J01AA02 - doksiciklin
J01CA04,amoksicilin,J01CA04 - amoksicilin
J01CE02,fenoksimetilpenicilin,J01CE02 - fenoksimetilpenicilin
J01CE10,benzatinijev fenoksimetilpenicilinat,J01CE10 - benzatinijev fenoksimetilpenicilinat
J01CF02,kloksacilin,J01CF02 - kloksacilin
J01CF05,flukloksacilin,J01CF05 - flukloksacilin
J01CR02,amoksicilin in zaviralec laktamaz beta,J01CR02 - amoksicilin in zaviralec laktamaz beta
J01DB01,cefaleksin,J01DB01 - cefaleksin
J01DB05,cefadroksil,J01DB05 - cefadroksil
J01DC02,cefuroksim,J01DC02 - cefuroksim
J01DC04,cefaklor,J01DC04 - cefaklor
J01DC10,cefprozil,J01DC10 - cefprozil
J01DD08,cefiksim,J01DD08 - cefiksim
J01DD14,ceftibuten,J01DD14 - ceftibuten
J01DF01,aztreonam,J01DF01 - aztreonam
J01EE01,sulfametoksazol in trimetoprim,J01EE01 - sulfametoksazol in trimetoprim
J01FA01,eritromicin,J01FA01 - eritromicin
J01FA03,midekamicin,J01FA03 - midekamicin
J01FA06,roksitromicin,J01FA06 - roksitromicin
J01FA09,klaritromicin,J01FA09 - klaritromicin
J01FA10,azitromicin,J01FA10 - azitromicin
J01FA11,miokamicin,J01FA11 - miokamicin
J01FF01,klindamicin,J01FF01 - klindamicin
J01GB01,tobramicin,J01GB01 - tobramicin
J01MA02,ciprofloksacin,J01MA02 - ciprofloksacin
J01MA03,pefloksacin,J01MA03 - pefloksacin
J01MA06,norfloksacin,J01MA06 - norfloksacin
J01MA12,levofloksacin,J01MA12 - levofloksacin
J01MA14,moksifloksacin,J01MA14 - moksifloksacin
J01MB04,pipemidna kislina,J01MB04 - pipemidna kislina
J01XB01,kolistin,J01XB01 - kolistin
J01XE01,nitrofurantoin,J01XE01 - nitrofurantoin
J01XX01,fosfomicin,J01XX01 - fosfomicin
J01XX08,linezolid,J01XX08 - linezolid
J01XX11,tedizolid,J01XX11 - tedizolid
J02AC01,flukonazol,J02AC01 - flukonazol
J02AC02,itrakonazol,J02AC02 - itrakonazol
J02AC03,vorikonazol,J02AC03 - vorikonazol
J02AC04,posakonazol,J02AC04 - posakonazol
J04AB02,rifampicin,J04AB02 - rifampicin
J04AC01,izoniazid,J04AC01 - izoniazid
J04AK02,etambutol,J04AK02 - etambutol
J04AM02,rifampicin in izoniazid,J04AM02 - rifampicin in izoniazid
J04AM05,"rifampicin, pirazinamid in izoniazid","J04AM05 - rifampicin, pirazinamid in izoniazid"
J04BA02,dapson,J04BA02 - dapson
J05AB01,aciklovir,J05AB01 - aciklovir
J05AB04,ribavirin,J05AB04 - ribavirin
J05AB11,valaciklovir,J05AB11 - valaciklovir
J05AB14,valganciklovir,J05AB14 - valganciklovir
J05AB15,brivudin,J05AB15 - brivudin
J05AE03,ritonavir,J05AE03 - ritonavir
J05AE08,atazanavir,J05AE08 - atazanavir
J05AE10,darunavir,J05AE10 - darunavir
J05AE11,telaprevir,J05AE11 - telaprevir
J05AE12,boceprevir,J05AE12 - boceprevir
J05AE14,simeprevir,J05AE14 - simeprevir
J05AF02,didanozin,J05AF02 - didanozin
J05AF05,lamivudin,J05AF05 - lamivudin
J05AF06,abakavir,J05AF06 - abakavir
J05AF07,dizoproksiltenofovirat,J05AF07 - dizoproksiltenofovirat
J05AF10,entekavir,J05AF10 - entekavir
J05AF11,telbivudin,J05AF11 - telbivudin
J05AF13,tenofoviralafenamid,J05AF13 - tenofoviralafenamid
J05AG03,efavirenz,J05AG03 - efavirenz
J05AG04,etravirin,J05AG04 - etravirin
J05AG05,rilpivirin,J05AG05 - rilpivirin
J05AH01,zanamivir,J05AH01 - zanamivir
J05AH02,oseltamivir,J05AH02 - oseltamivir
J05AP08,sofosbuvir,J05AP08 - sofosbuvir
J05AP55,sofosbuvir in velpatasvir,J05AP55 - sofosbuvir in velpatasvir
J05AP56,"sofosbuvir, velpatasvir in voksilaprevir","J05AP56 - sofosbuvir, velpatasvir in voksilaprevir"
J05AP57,glekaprevir in pibrentasvir,J05AP57 - glekaprevir in pibrentasvir
J05AR01,zidovudin in lamivudin,J05AR01 - zidovudin in lamivudin
J05AR02,lamivudin in abakavir,J05AR02 - lamivudin in abakavir
J05AR03,dizoproksiltenofovirat in emtricitabin,J05AR03 - dizoproksiltenofovirat in emtricitabin
J05AR08,"emtricitabin, dizoproksiltenofovirat in rilpivirin","J05AR08 - emtricitabin, dizoproksiltenofovirat in rilpivirin"
J05AR10,lopinavir in ritonavir,J05AR10 - lopinavir in ritonavir
J05AR13,"lamivudin, abakavir in dolutegravir","J05AR13 - lamivudin, abakavir in dolutegravir"
J05AR14,darunavir in kobicistat,J05AR14 - darunavir in kobicistat
J05AR17,emtricitabin in tenofoviralafenamid,J05AR17 - emtricitabin in tenofoviralafenamid
J05AR18,"emtricitabin, tenofoviralafenamid, elvitegravir in kobicistat","J05AR18 - emtricitabin, tenofoviralafenamid, elvitegravir in kobicistat"
J05AR19,"emtricitabin, tenofoviralafenamid in rilpivirin","J05AR19 - emtricitabin, tenofoviralafenamid in rilpivirin"
J05AR20,"emtricitabin, tenofoviralafenamid in bictegravir","J05AR20 - emtricitabin, tenofoviralafenamid in bictegravir"
J05AR21,dolutegravir in rilpivirin,J05AR21 - dolutegravir in rilpivirin
J05AR22,"emtricitabin, tenofoviralafenamid, darunavir in kobicistat","J05AR22 - emtricitabin, tenofoviralafenamid, darunavir in kobicistat"
J05AX08,raltegravir,J05AX08 - raltegravir
J05AX09,maravirok,J05AX09 - maravirok
J05AX12,dolutegravir,J05AX12 - dolutegravir
J05AX16,dasabuvir,J05AX16 - dasabuvir
J05AX65,sofosbuvir in ledipasvir,J05AX65 - sofosbuvir in ledipasvir
