ATC2,NAZIV,joint_name
J04,UČINKOVINE ZA ZDRAVLJENJE INFEKCIJ Z MIKOBAKTERIJAMI,J04 - UČINKOVINE ZA ZDRAVLJENJE INFEKCIJ Z MIKOBAKTERIJAMI
J05,ZDRAVILA ZA SISTEMSKO ZDRAVLJENJE VIRUSNIH INFEKCIJ,J05 - ZDRAVILA ZA SISTEMSKO ZDRAVLJENJE VIRUSNIH INFEKCIJ
J06,IMUNSKI SERUMI IN IMUNOGLOBULINI,J06 - IMUNSKI SERUMI IN IMUNOGLOBULINI
L01,ZDRAVILA Z DELOVANJEM NA NOVOTVORBE (CITOSTATIKI),L01 - ZDRAVILA Z DELOVANJEM NA NOVOTVORBE (CITOSTATIKI)
L02,ENDOKRINO ZDRAVLJENJE,L02 - ENDOKRINO ZDRAVLJENJE
L03,ZDRAVILA ZA SPODBUJANJE IMUNSKE ODZIVNOSTI,L03 - ZDRAVILA ZA SPODBUJANJE IMUNSKE ODZIVNOSTI
L04,ZDRAVILA ZA ZAVIRANJE IMUNSKE ODZIVNOSTI,L04 - ZDRAVILA ZA ZAVIRANJE IMUNSKE ODZIVNOSTI
M01,ZDRAVILA S PROTIVNETNIM IN PROTIREVMATIČNIM UČINKOM,M01 - ZDRAVILA S PROTIVNETNIM IN PROTIREVMATIČNIM UČINKOM
M03,MIŠIČNI RELAKSANTI,M03 - MIŠIČNI RELAKSANTI
M04,ZDRAVILA ZA ZDRAVLJENJE PROTINA,M04 - ZDRAVILA ZA ZDRAVLJENJE PROTINA
M05,ZDRAVILA ZA BOLEZNI KOSTI,M05 - ZDRAVILA ZA BOLEZNI KOSTI
M09,DRUGA ZDRAVILA ZA ZDRAVLJENJE MOTENJ MIŠIČNO-SKELETNEGA SISTEMA,M09 - DRUGA ZDRAVILA ZA ZDRAVLJENJE MOTENJ MIŠIČNO-SKELETNEGA SISTEMA
N01,ANESTETIKI,N01 - ANESTETIKI
N02,ANALGETIKI,N02 - ANALGETIKI
N03,ANTIEPILEPTIKI,N03 - ANTIEPILEPTIKI
N04,ANTIPARKINSONIKI,N04 - ANTIPARKINSONIKI
N05,PSIHOLEPTIKI,N05 - PSIHOLEPTIKI
N06,PSIHOANALEPTIKI,N06 - PSIHOANALEPTIKI
N07,DRUGA ZDRAVILA Z DELOVANJEM NA ŽIVČEVJE,N07 - DRUGA ZDRAVILA Z DELOVANJEM NA ŽIVČEVJE
P01,ANTIPROTOZOIKI,P01 - ANTIPROTOZOIKI
P02,ANTIHELMINTIKI,P02 - ANTIHELMINTIKI
P03,"ZDRAVILA PROTI PARAZITOM ZUNANJIH POVRŠIN IN PROTI GARJAM, INSEKTICIDI IN REPELENTI","P03 - ZDRAVILA PROTI PARAZITOM ZUNANJIH POVRŠIN IN PROTI GARJAM, INSEKTICIDI IN REPELENTI"
R01,ZDRAVILA ZA BOLEZNI NOSNE SLUZNICE,R01 - ZDRAVILA ZA BOLEZNI NOSNE SLUZNICE
R03,ZDRAVILA ZA OBSTRUKTIVNE PLJUČNE BOLEZNI,R03 - ZDRAVILA ZA OBSTRUKTIVNE PLJUČNE BOLEZNI
R05,ZDRAVILA ZA ZDRAVLJENJE KAŠLJA IN PREHLADA,R05 - ZDRAVILA ZA ZDRAVLJENJE KAŠLJA IN PREHLADA
R06,ANTIHISTAMINIKI ZA SISTEMSKO ZDRAVLJENJE,R06 - ANTIHISTAMINIKI ZA SISTEMSKO ZDRAVLJENJE
S01,ZDRAVILA ZA OČESNE BOLEZNI,S01 - ZDRAVILA ZA OČESNE BOLEZNI
S03,ZDRAVILA ZA OČESNE IN UŠESNE BOLEZNI,S03 - ZDRAVILA ZA OČESNE IN UŠESNE BOLEZNI
V01,ALERGIJO SPROŽAJOČE SNOVI (ALERGENI),V01 - ALERGIJO SPROŽAJOČE SNOVI (ALERGENI)
V03,DRUGA NERAZVRŠČENA ZDRAVILA ZA RAZLIČNE BOLEZNI,V03 - DRUGA NERAZVRŠČENA ZDRAVILA ZA RAZLIČNE BOLEZNI
V06,OSNOVNA HRANILA,V06 - OSNOVNA HRANILA
V07,DRUGI NETERAPEVTSKI PRIPRAVKI,V07 - DRUGI NETERAPEVTSKI PRIPRAVKI
